nombre_cliente,apellido_cliente,nombre_pais,nombre_subcategoria,descripcion_subcategoria,nombre_producto,fecha_fabricacion,descripcion_producto,fecha,cantidad_producto,precio_unitario,iva_cobrado,subtotal,total
Ryan,Baker,Ecuador,Cizallas de hoja larga,se utilizan para podar ramas más gruesas en un bonsái,fragrant-wave,2020-04-20,Herramientas,2007-05-24,5,9.63,5.78,48.15,53.93
Daniel,Carter,Colombia,Cizallas de hoja larga,se utilizan para podar ramas más gruesas en un bonsái,autumn-surf,2020-02-01,Herramientas,2019-04-01,5,9.63,5.78,48.15,53.93
Daniel,Carter,Colombia,Macetas de vidrio,son una opción menos común para los bonsáis. Permiten una visión completa de las raíces y pueden ser interesantes desde el punto de vista decorativo,sparkling-dream,2020-02-21,Macetas,2019-04-01,3,12.09,4.35,36.27,40.62
Camila,Young,Unite Estates,Cepillo de raíz,se utilizan para limpiar la tierra de las raíces del bonsái,wandering-resonance,2021-06-05,Herramientas,2020-01-10,5,9.63,5.78,48.15,53.93
Camila,Young,Unite Estates,Sphagnum moss,Es un tipo de musgo que se utiliza a menudo como sustrato para bonsáis. Tiene una capacidad de retención de agua muy alta y ayuda a mantener las raíces húmedas,misty-feather,2021-09-11,Sustrato,2020-01-10,1,6.04,0.72,6.04,6.76
Camila,Young,Unite Estates,Macetas de vidrio,son una opción menos común para los bonsáis. Permiten una visión completa de las raíces y pueden ser interesantes desde el punto de vista decorativo,twilight-wood,2020-03-17,Macetas,2020-01-10,4,12.09,5.80,48.36,54.16
Camila,Young,Unite Estates,Vermiculita,Es un sustrato similar a la perlita,dry-tree,2020-10-11,Sustrato,2020-01-10,5,6.04,3.62,30.20,33.82
Camila,Young,Unite Estates,Macetas de metal,son una opción más moderna para los bonsáis. Están disponibles en diferentes acabados y pueden ser duraderas y resistentes a la intemperie. Sin embargo,floral-forest,2021-01-08,Macetas,2020-01-10,3,12.09,4.35,36.27,40.62
Evelyn,Cooper,Ecuador,Macetas de cerámica,son las macetas más comunes para los bonsáis. Están disponibles en varios tamaños,little-forest,1989-10-31,Macetas,2020-06-20,1,398.94,47.87,398.94,446.81
Evelyn,Cooper,Ecuador,Vermiculita,Es un sustrato similar a la perlita,dry-tree,2020-10-11,Sustrato,2020-06-20,3,6.04,2.17,18.12,20.29
Evelyn,Cooper,Ecuador,Cepillo de raíz,se utilizan para limpiar la tierra de las raíces del bonsái,aged-waterfall,2021-01-22,Herramientas,2020-06-20,5,9.63,5.78,48.15,53.93
Evelyn,Cooper,Ecuador,Macetas de madera,son una opción más rústica para los bonsáis. Están disponibles en diferentes tipos de madera,wandering-wildflower,2021-10-23,Macetas,2020-06-20,3,12.09,4.35,36.27,40.62
Evelyn,Cooper,Ecuador,Macetas de madera,son una opción más rústica para los bonsáis. Están disponibles en diferentes tipos de madera,damp-dust,2021-07-26,Macetas,2020-06-20,5,12.09,7.25,60.45,67.70
Noah,Boyd,Ecuador,Cizallas de hoja larga,se utilizan para podar ramas más gruesas en un bonsái,dawn-flower,2021-01-03,Herramientas,2014-10-23,5,9.63,5.78,48.15,53.93
Noah,Boyd,Ecuador,Tijeras de podar,Se utilizan para cortar ramas y hojas de un bonsái,delicate-glitter,2021-10-13,Herramientas,2014-10-23,5,9.63,5.78,48.15,53.93
Noah,Boyd,Ecuador,Cizallas de hoja larga,se utilizan para podar ramas más gruesas en un bonsái,summer-surf,2020-12-14,Herramientas,2014-10-23,5,9.63,5.78,48.15,53.93
Noah,Boyd,Ecuador,Gancho de raíz,se utilizan para limpiar la tierra de las raíces del bonsái y ajustar el alambre,solitary-meadow,2021-09-06,Herramientas,2014-10-23,3,9.63,3.47,28.89,32.36
Noah,Boyd,Ecuador,Macetas de metal,son una opción más moderna para los bonsáis. Están disponibles en diferentes acabados y pueden ser duraderas y resistentes a la intemperie. Sin embargo,bold-dream,2021-08-28,Macetas,2014-10-23,1,12.09,1.45,12.09,13.54
Christian,Mitchell,Colombia,Macetas de arcilla,son macetas porosas que permiten una mejor circulación del aire y el agua. Sin embargo,falling-butterfly,2020-04-30,Macetas,2013-05-02,2,12.09,2.90,24.18,27.08
Christian,Mitchell,Colombia,Piedra pómez,Es un sustrato ligero que se utiliza para mejorar el drenaje en la base del bonsái. También puede ayudar a reducir la compactación del sustrato y mejorar la aireación de las raíces,lingering-rain,2021-01-14,Sustrato,2013-05-02,4,6.04,2.90,24.16,27.06
Christian,Mitchell,Colombia,Macetas de metal,son una opción más moderna para los bonsáis. Están disponibles en diferentes acabados y pueden ser duraderas y resistentes a la intemperie. Sin embargo,crimson-tree,2020-04-12,Macetas,2013-05-02,2,12.09,2.90,24.18,27.08
Leo,Sanchez,Colombia,Kiryuzuna,También conocido como arena de río,old-glade,2021-02-18,Sustrato,2011-04-30,4,6.04,2.90,24.16,27.06
Leo,Sanchez,Colombia,Tierra para macetas,es un sustrato común que se puede utilizar para bonsáis. Es una mezcla de tierra,white-sound,2021-10-06,Sustrato,2011-04-30,4,6.04,2.90,24.16,27.06
Leo,Sanchez,Colombia,Macetas de cerámica,son las macetas más comunes para los bonsáis. Están disponibles en varios tamaños,sparkling-firefly,1987-09-10,Macetas,2011-04-30,2,423.12,101.55,846.24,947.79
Christopher,Brown,Colombia,Cincel de raíz,se utilizan para separar y cortar las raíces del bonsái,summer-flower,2020-10-08,Herramientas,2005-04-30,5,9.63,5.78,48.15,53.93
Christopher,Brown,Colombia,Sierra,se utilizan para cortar ramas gruesas de un bonsái,wild-voice,2020-10-08,Herramientas,2005-04-30,1,9.63,1.16,9.63,10.79
Christopher,Brown,Colombia,Tijeras de podar,Se utilizan para cortar ramas y hojas de un bonsái,ancient-bird,2020-10-01,Herramientas,2005-04-30,2,9.63,2.31,19.26,21.57
Christopher,Brown,Colombia,Sphagnum moss,Es un tipo de musgo que se utiliza a menudo como sustrato para bonsáis. Tiene una capacidad de retención de agua muy alta y ayuda a mantener las raíces húmedas,cold-meadow,2020-09-16,Sustrato,2005-04-30,4,6.04,2.90,24.16,27.06
Christopher,Brown,Colombia,Cincel de raíz,se utilizan para separar y cortar las raíces del bonsái,small-star,2020-07-14,Herramientas,2005-04-30,1,9.63,1.16,9.63,10.79
Caleb,Gonzalez,Sweden,Piedra pómez,Es un sustrato ligero que se utiliza para mejorar el drenaje en la base del bonsái. También puede ayudar a reducir la compactación del sustrato y mejorar la aireación de las raíces,rough-fog,2020-08-14,Sustrato,2009-10-23,2,6.04,1.45,12.08,13.53
Caleb,Gonzalez,Sweden,Cincel de raíz,se utilizan para separar y cortar las raíces del bonsái,silent-sunset,2021-01-24,Herramientas,2009-10-23,4,9.63,4.62,38.52,43.14
Caleb,Gonzalez,Sweden,Macetas de metal,son una opción más moderna para los bonsáis. Están disponibles en diferentes acabados y pueden ser duraderas y resistentes a la intemperie. Sin embargo,white-rain,2020-04-25,Macetas,2009-10-23,5,12.09,7.25,60.45,67.70
Caleb,Gonzalez,Sweden,Macetas de vidrio,son una opción menos común para los bonsáis. Permiten una visión completa de las raíces y pueden ser interesantes desde el punto de vista decorativo,long-sun,2021-11-19,Macetas,2009-10-23,1,12.09,1.45,12.09,13.54
Riley,Williams,Unite Kingdom,Tijeras de podar,Se utilizan para cortar ramas y hojas de un bonsái,lively-fog,2020-08-20,Herramientas,2015-05-31,1,9.63,1.16,9.63,10.79
Riley,Williams,Unite Kingdom,Perlita,Es un sustrato de origen volcánico muy ligero que se utiliza a menudo en mezclas de sustratos para bonsáis. Tiene una capacidad de retención de agua moderada y ayuda a mejorar la aireación del sustrato,lingering-flower,2021-01-14,Sustrato,2015-05-31,4,6.04,2.90,24.16,27.06
Riley,Williams,Unite Kingdom,Sphagnum moss,Es un tipo de musgo que se utiliza a menudo como sustrato para bonsáis. Tiene una capacidad de retención de agua muy alta y ayuda a mantener las raíces húmedas,misty-feather,2021-09-11,Sustrato,2015-05-31,4,6.04,2.90,24.16,27.06
Riley,Williams,Unite Kingdom,Pinzas de agarrar,se utilizan para trabajar en ramas pequeñas y ajustar el alambre,proud-mountain,2021-02-14,Herramientas,2015-05-31,2,9.63,2.31,19.26,21.57
Liam,Hunter,Ecuador,Piedra pómez,Es un sustrato ligero que se utiliza para mejorar el drenaje en la base del bonsái. También puede ayudar a reducir la compactación del sustrato y mejorar la aireación de las raíces,bold-mountain,2020-10-06,Sustrato,2021-10-24,1,6.04,0.72,6.04,6.76
Liam,Hunter,Ecuador,Kiryuzuna,También conocido como arena de río,twilight-water,2021-03-07,Sustrato,2021-10-24,3,6.04,2.17,18.12,20.29
Zoey,Boyd,Sweden,Piedra pómez,Es un sustrato ligero que se utiliza para mejorar el drenaje en la base del bonsái. También puede ayudar a reducir la compactación del sustrato y mejorar la aireación de las raíces,misty-brook,2020-08-16,Sustrato,2001-06-16,2,6.04,1.45,12.08,13.53
Gabriel,Baker,Sweden,Macetas de metal,son una opción más moderna para los bonsáis. Están disponibles en diferentes acabados y pueden ser duraderas y resistentes a la intemperie. Sin embargo,frosty-frog,2020-10-29,Macetas,2018-09-04,1,12.09,1.45,12.09,13.54
Gabriel,Baker,Sweden,Macetas de plástico,son una opción económica para los bonsáis. Son resistentes,winter-waterfall,2021-04-28,Macetas,2018-09-04,1,12.09,1.45,12.09,13.54
Gabriel,Baker,Sweden,Tierra para macetas,es un sustrato común que se puede utilizar para bonsáis. Es una mezcla de tierra,restless-sunset,2021-08-20,Sustrato,2018-09-04,3,6.04,2.17,18.12,20.29
Gabriel,Baker,Sweden,Gancho de raíz,se utilizan para limpiar la tierra de las raíces del bonsái y ajustar el alambre,long-butterfly,2021-01-17,Herramientas,2018-09-04,2,9.63,2.31,19.26,21.57
Gabriel,Baker,Sweden,Tierra para macetas,es un sustrato común que se puede utilizar para bonsáis. Es una mezcla de tierra,restless-sunset,2021-08-20,Sustrato,2018-09-04,3,6.04,2.17,18.12,20.29
Grace,Perez,Ecuador,Macetas de vidrio,son una opción menos común para los bonsáis. Permiten una visión completa de las raíces y pueden ser interesantes desde el punto de vista decorativo,holy-wood,2021-03-08,Macetas,2020-10-17,1,12.09,1.45,12.09,13.54
Grace,Perez,Ecuador,Tijeras de defoliación,se utilizan para eliminar las hojas de un bonsái,icy-shadow,2021-08-17,Herramientas,2020-10-17,5,9.63,5.78,48.15,53.93
Grace,Perez,Ecuador,Vermiculita,Es un sustrato similar a la perlita,aged-leaf,2020-07-10,Sustrato,2020-10-17,1,6.04,0.72,6.04,6.76
Adrian,Cook,Ecuador,Macetas de vidrio,son una opción menos común para los bonsáis. Permiten una visión completa de las raíces y pueden ser interesantes desde el punto de vista decorativo,cool-glitter,2020-05-23,Macetas,2013-06-05,1,12.09,1.45,12.09,13.54
Adrian,Cook,Ecuador,Pinzas de agarrar,se utilizan para trabajar en ramas pequeñas y ajustar el alambre,divine-resonance,2020-07-19,Herramientas,2013-06-05,3,9.63,3.47,28.89,32.36
Adrian,Cook,Ecuador,Pinzas de agarrar,se utilizan para trabajar en ramas pequeñas y ajustar el alambre,proud-fire,2021-08-15,Herramientas,2013-06-05,5,9.63,5.78,48.15,53.93
Adrian,Cook,Ecuador,Pinzas de agarrar,se utilizan para trabajar en ramas pequeñas y ajustar el alambre,withered-meadow,2021-03-26,Herramientas,2013-06-05,4,9.63,4.62,38.52,43.14
Grayson,Smith,Unite Kingdom,Tijeras de podar,Se utilizan para cortar ramas y hojas de un bonsái,twilight-wood,2020-08-09,Herramientas,2001-06-15,4,9.63,4.62,38.52,43.14
Grayson,Smith,Unite Kingdom,Tijeras de podar,Se utilizan para cortar ramas y hojas de un bonsái,lingering-water,2020-10-12,Herramientas,2001-06-15,3,9.63,3.47,28.89,32.36
Grayson,Smith,Unite Kingdom,Tijeras de podar,Se utilizan para cortar ramas y hojas de un bonsái,withered-fog,2020-09-24,Herramientas,2001-06-15,1,9.63,1.16,9.63,10.79
Jeremiah,Perez,Ecuador,Macetas de metal,son una opción más moderna para los bonsáis. Están disponibles en diferentes acabados y pueden ser duraderas y resistentes a la intemperie. Sin embargo,young-grass,2021-06-14,Macetas,2021-12-31,1,12.09,1.45,12.09,13.54
Jeremiah,Perez,Ecuador,Cincel de raíz,se utilizan para separar y cortar las raíces del bonsái,wispy-brook,2021-06-25,Herramientas,2021-12-31,5,9.63,5.78,48.15,53.93
Jeremiah,Perez,Ecuador,Gancho de raíz,se utilizan para limpiar la tierra de las raíces del bonsái y ajustar el alambre,muddy-glade,2020-06-16,Herramientas,2021-12-31,3,9.63,3.47,28.89,32.36
Jeremiah,Perez,Ecuador,Akadama,Un sustrato japonés hecho de arcilla volcánica,snowy-leaf,2020-11-12,Sustrato,2021-12-31,5,6.04,3.62,30.20,33.82
Jeremiah,Perez,Ecuador,Macetas de vidrio,son una opción menos común para los bonsáis. Permiten una visión completa de las raíces y pueden ser interesantes desde el punto de vista decorativo,dark-feather,2021-07-11,Macetas,2021-12-31,5,12.09,7.25,60.45,67.70
Isabella,Lopez,Ecuador,Tijeras de podar,Se utilizan para cortar ramas y hojas de un bonsái,twilight-wood,2020-08-09,Herramientas,2007-11-08,1,9.63,1.16,9.63,10.79
Aaliyah,Scott,Colombia,Sphagnum moss,Es un tipo de musgo que se utiliza a menudo como sustrato para bonsáis. Tiene una capacidad de retención de agua muy alta y ayuda a mantener las raíces húmedas,purple-wildflower,2020-03-11,Sustrato,2006-12-31,5,6.04,3.62,30.20,33.82
Aaliyah,Scott,Colombia,Sphagnum moss,Es un tipo de musgo que se utiliza a menudo como sustrato para bonsáis. Tiene una capacidad de retención de agua muy alta y ayuda a mantener las raíces húmedas,purple-wildflower,2020-03-11,Sustrato,2006-12-31,1,6.04,0.72,6.04,6.76
Aaliyah,Scott,Colombia,Macetas de arcilla,son macetas porosas que permiten una mejor circulación del aire y el agua. Sin embargo,cold-forest,2020-12-23,Macetas,2006-12-31,3,12.09,4.35,36.27,40.62
Aaliyah,Scott,Colombia,Cincel de raíz,se utilizan para separar y cortar las raíces del bonsái,summer-flower,2020-10-08,Herramientas,2006-12-31,2,9.63,2.31,19.26,21.57
Aaliyah,Scott,Colombia,Akadama,Un sustrato japonés hecho de arcilla volcánica,proud-bush,2020-03-13,Sustrato,2006-12-31,1,6.04,0.72,6.04,6.76
Grayson,Smith,Unite Kingdom,Tijeras de defoliación,se utilizan para eliminar las hojas de un bonsái,purple-leaf,2021-06-14,Herramientas,2005-09-20,3,9.63,3.47,28.89,32.36
Grayson,Smith,Unite Kingdom,Kiryuzuna,También conocido como arena de río,wispy-star,2021-06-16,Sustrato,2005-09-20,3,6.04,2.17,18.12,20.29
Grayson,Smith,Unite Kingdom,Tierra para macetas,es un sustrato común que se puede utilizar para bonsáis. Es una mezcla de tierra,lingering-cherry,2020-05-06,Sustrato,2005-09-20,5,6.04,3.62,30.20,33.82
Grayson,Smith,Unite Kingdom,Alicate,se utilizan para ajustar y cortar el alambre que se usa para dar forma a un bonsái,old-water,2020-02-12,Herramientas,2005-09-20,3,9.63,3.47,28.89,32.36
Julia,Webb,Sweden,Cizallas de yunque,se utilizan para cortar ramas y hojas de un bonsái con menos esfuerzo,young-snow,2020-06-26,Herramientas,2001-08-05,4,9.63,4.62,38.52,43.14
Julia,Webb,Sweden,Tierra para macetas,es un sustrato común que se puede utilizar para bonsáis. Es una mezcla de tierra,delicate-mountain,2020-10-16,Sustrato,2001-08-05,4,6.04,2.90,24.16,27.06
Julia,Webb,Sweden,Perlita,Es un sustrato de origen volcánico muy ligero que se utiliza a menudo en mezclas de sustratos para bonsáis. Tiene una capacidad de retención de agua moderada y ayuda a mejorar la aireación del sustrato,winter-sea,2020-10-20,Sustrato,2001-08-05,4,6.04,2.90,24.16,27.06
Julia,Webb,Sweden,Akadama,Un sustrato japonés hecho de arcilla volcánica,delicate-tree,2021-12-04,Sustrato,2001-08-05,3,6.04,2.17,18.12,20.29
Julia,Webb,Sweden,Cizallas de hoja larga,se utilizan para podar ramas más gruesas en un bonsái,summer-leaf,2020-12-06,Herramientas,2001-08-05,1,9.63,1.16,9.63,10.79
Aiden,Parker,Ecuador,Cincel de raíz,se utilizan para separar y cortar las raíces del bonsái,twilight-star,2020-03-24,Herramientas,2004-12-21,4,9.63,4.62,38.52,43.14
Aiden,Parker,Ecuador,Cepillo de raíz,se utilizan para limpiar la tierra de las raíces del bonsái,rough-moon,2020-03-10,Herramientas,2004-12-21,2,9.63,2.31,19.26,21.57
Aiden,Parker,Ecuador,Cizallas de hoja larga,se utilizan para podar ramas más gruesas en un bonsái,nameless-bush,2021-02-02,Herramientas,2004-12-21,4,9.63,4.62,38.52,43.14
Aiden,Parker,Ecuador,Tijeras de podar,Se utilizan para cortar ramas y hojas de un bonsái,ancient-pond,2021-04-19,Herramientas,2004-12-21,4,9.63,4.62,38.52,43.14
Dominic,Phillips,Unite Kingdom,Cepillo de raíz,se utilizan para limpiar la tierra de las raíces del bonsái,snowy-sun,2021-09-09,Herramientas,2008-10-31,4,9.63,4.62,38.52,43.14
Dominic,Phillips,Unite Kingdom,Akadama,Un sustrato japonés hecho de arcilla volcánica,twilight-water,2020-09-24,Sustrato,2008-10-31,3,6.04,2.17,18.12,20.29
Dominic,Phillips,Unite Kingdom,Tierra para macetas,es un sustrato común que se puede utilizar para bonsáis. Es una mezcla de tierra,spring-butterfly,2021-08-30,Sustrato,2008-10-31,1,6.04,0.72,6.04,6.76
Dominic,Phillips,Unite Kingdom,Macetas de madera,son una opción más rústica para los bonsáis. Están disponibles en diferentes tipos de madera,small-glitter,2020-10-04,Macetas,2008-10-31,5,12.09,7.25,60.45,67.70
Dominic,Phillips,Unite Kingdom,Macetas de madera,son una opción más rústica para los bonsáis. Están disponibles en diferentes tipos de madera,damp-dust,2021-07-26,Macetas,2008-10-31,4,12.09,5.80,48.36,54.16
Dominic,Cook,Sweden,Tijeras de podar,Se utilizan para cortar ramas y hojas de un bonsái,muddy-star,2020-11-30,Herramientas,2021-07-06,3,9.63,3.47,28.89,32.36
Dominic,Cook,Sweden,Sphagnum moss,Es un tipo de musgo que se utiliza a menudo como sustrato para bonsáis. Tiene una capacidad de retención de agua muy alta y ayuda a mantener las raíces húmedas,dry-mountain,2020-01-04,Sustrato,2021-07-06,2,6.04,1.45,12.08,13.53
Dominic,Cook,Sweden,Kanuma,Es otro sustrato japonés que se utiliza comúnmente para bonsáis de coníferas. Está hecho de tierra volcánica ácida y es especialmente bueno para las plantas que requieren un pH bajo,small-thunder,2021-09-21,Sustrato,2021-07-06,5,6.04,3.62,30.20,33.82
Dominic,Cook,Sweden,Macetas de vidrio,son una opción menos común para los bonsáis. Permiten una visión completa de las raíces y pueden ser interesantes desde el punto de vista decorativo,silent-star,2020-12-19,Macetas,2021-07-06,4,12.09,5.80,48.36,54.16
Gabriel,Brown,Unite Kingdom,Macetas de madera,son una opción más rústica para los bonsáis. Están disponibles en diferentes tipos de madera,autumn-frog,2021-07-23,Macetas,2004-10-05,2,12.09,2.90,24.18,27.08
Gabriel,Brown,Unite Kingdom,Macetas de arcilla,son macetas porosas que permiten una mejor circulación del aire y el agua. Sin embargo,aged-silence,2021-09-24,Macetas,2004-10-05,4,12.09,5.80,48.36,54.16
Gabriel,Brown,Unite Kingdom,Macetas de cerámica,son las macetas más comunes para los bonsáis. Están disponibles en varios tamaños,lingering-wave,1997-09-21,Macetas,2004-10-05,1,302.23,36.27,302.23,338.50
Evelyn,Gutierrez,Sweden,Vermiculita,Es un sustrato similar a la perlita,twilight-flower,2020-03-17,Sustrato,2005-10-05,5,6.04,3.62,30.20,33.82
Evelyn,Gutierrez,Sweden,Gancho de raíz,se utilizan para limpiar la tierra de las raíces del bonsái y ajustar el alambre,billowing-glitter,2021-01-10,Herramientas,2005-10-05,3,9.63,3.47,28.89,32.36
Zachary,Lewis,Colombia,Tierra para macetas,es un sustrato común que se puede utilizar para bonsáis. Es una mezcla de tierra,black-moon,2021-12-14,Sustrato,2005-06-13,1,6.04,0.72,6.04,6.76
Zachary,Lewis,Colombia,Cincel de raíz,se utilizan para separar y cortar las raíces del bonsái,silent-sunset,2021-01-24,Herramientas,2005-06-13,5,9.63,5.78,48.15,53.93
Zachary,Lewis,Colombia,Macetas de madera,son una opción más rústica para los bonsáis. Están disponibles en diferentes tipos de madera,wild-fog,2021-10-07,Macetas,2005-06-13,3,12.09,4.35,36.27,40.62
Zachary,Lewis,Colombia,Vermiculita,Es un sustrato similar a la perlita,wispy-smoke,2020-12-02,Sustrato,2005-06-13,3,6.04,2.17,18.12,20.29
Ezra,Nelson,Colombia,Tierra para macetas,es un sustrato común que se puede utilizar para bonsáis. Es una mezcla de tierra,white-sound,2021-10-06,Sustrato,2005-06-15,5,6.04,3.62,30.20,33.82
Ezra,Nelson,Colombia,Macetas de vidrio,son una opción menos común para los bonsáis. Permiten una visión completa de las raíces y pueden ser interesantes desde el punto de vista decorativo,polished-thunder,2021-10-14,Macetas,2005-06-15,4,12.09,5.80,48.36,54.16
Ezra,Nelson,Colombia,Tierra para macetas,es un sustrato común que se puede utilizar para bonsáis. Es una mezcla de tierra,wandering-star,2021-07-29,Sustrato,2005-06-15,1,6.04,0.72,6.04,6.76
Ezra,Nelson,Colombia,Gancho de raíz,se utilizan para limpiar la tierra de las raíces del bonsái y ajustar el alambre,long-breeze,2021-08-05,Herramientas,2005-06-15,2,9.63,2.31,19.26,21.57
Ethan,Gutierrez,Sweden,Tijeras de defoliación,se utilizan para eliminar las hojas de un bonsái,shy-brook,2021-08-25,Herramientas,2005-04-12,5,9.63,5.78,48.15,53.93
Ethan,Gutierrez,Sweden,Cepillo de raíz,se utilizan para limpiar la tierra de las raíces del bonsái,autumn-mountain,2020-10-19,Herramientas,2005-04-12,4,9.63,4.62,38.52,43.14
Ethan,Gutierrez,Sweden,Macetas de metal,son una opción más moderna para los bonsáis. Están disponibles en diferentes acabados y pueden ser duraderas y resistentes a la intemperie. Sin embargo,old-rain,2021-12-26,Macetas,2005-04-12,3,12.09,4.35,36.27,40.62
Vivienne,Bailey,Sweden,Vermiculita,Es un sustrato similar a la perlita,polished-grass,2020-10-02,Sustrato,2016-09-01,5,6.04,3.62,30.20,33.82
Charlotte,Turner,Sweden,Cizallas de hoja larga,se utilizan para podar ramas más gruesas en un bonsái,misty-silence,2021-04-09,Herramientas,2015-02-26,5,9.63,5.78,48.15,53.93
Charlotte,Turner,Sweden,Tijeras de defoliación,se utilizan para eliminar las hojas de un bonsái,billowing-darkness,2021-02-18,Herramientas,2015-02-26,3,9.63,3.47,28.89,32.36
Charlotte,Turner,Sweden,Macetas de arcilla,son macetas porosas que permiten una mejor circulación del aire y el agua. Sin embargo,cold-wildflower,2020-02-21,Macetas,2015-02-26,1,12.09,1.45,12.09,13.54
Charlotte,Turner,Sweden,Macetas de madera,son una opción más rústica para los bonsáis. Están disponibles en diferentes tipos de madera,fragrant-silence,2021-08-03,Macetas,2015-02-26,5,12.09,7.25,60.45,67.70
Charlotte,Turner,Sweden,Macetas de vidrio,son una opción menos común para los bonsáis. Permiten una visión completa de las raíces y pueden ser interesantes desde el punto de vista decorativo,restless-wave,2021-08-11,Macetas,2015-02-26,1,12.09,1.45,12.09,13.54
Ryan,Baker,Ecuador,Neagari,Es un estilo de bonsái en el que el tronco está completamente expuesto en la superficie del suelo,withered-wildflower,2018-03-28,Bonsai,2021-01-21,2,60.45,14.51,120.90,135.41
Ryan,Baker,Ecuador,Piedra pómez,Es un sustrato ligero que se utiliza para mejorar el drenaje en la base del bonsái. También puede ayudar a reducir la compactación del sustrato y mejorar la aireación de las raíces,blue-snowflake,2021-10-02,Sustrato,2021-01-21,5,6.04,3.62,30.20,33.82
Ryan,Baker,Ecuador,Cizallas de hoja larga,se utilizan para podar ramas más gruesas en un bonsái,rough-water,2021-11-29,Herramientas,2021-01-21,2,9.63,2.31,19.26,21.57
Ryan,Baker,Ecuador,Kanuma,Es otro sustrato japonés que se utiliza comúnmente para bonsáis de coníferas. Está hecho de tierra volcánica ácida y es especialmente bueno para las plantas que requieren un pH bajo,small-thunder,2021-09-21,Sustrato,2021-01-21,3,6.04,2.17,18.12,20.29
Ryan,Baker,Ecuador,Cizallas de hoja larga,se utilizan para podar ramas más gruesas en un bonsái,purple-snow,2020-11-09,Herramientas,2021-01-21,2,9.63,2.31,19.26,21.57
Aurora,Davis,Ecuador,Moyogi,"Es el estilo más común de bonsái, caracterizado por un tronco recto y una corona simétrica.",withered-tree,2007-05-19,Bonsai,2007-01-15,1,181.34,21.76,181.34,203.10
